timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-07 20:14:33,160,154,312,92,168
2025-12-07 20:15:33,161,154,312,92,168
2025-12-07 20:16:33,162,154,312,92,167
2025-12-07 20:17:34,163,154,312,93,168
2025-12-07 20:18:34,164,154,312,93,168
2025-12-07 20:19:34,165,154,312,93,168
2025-12-07 20:20:34,166,154,313,92,168
2025-12-07 20:21:35,167,153,312,92,168
2025-12-07 20:22:35,168,153,312,92,168
2025-12-07 20:23:35,169,153,312,92,168
2025-12-07 20:24:36,170,153,313,92,168
2025-12-07 20:25:36,171,152,312,92,168
2025-12-07 20:26:36,172,152,311,91,168
2025-12-07 20:27:36,173,153,312,90,168
2025-12-07 20:28:36,174,153,312,90,168
2025-12-07 20:29:37,175,153,312,90,168
2025-12-07 20:30:37,176,153,312,90,168
2025-12-07 20:31:37,177,154,312,90,168
2025-12-07 20:32:38,178,154,312,90,168
2025-12-07 20:33:38,179,154,312,90,168
2025-12-07 20:34:38,180,153,312,90,168
2025-12-07 20:35:38,181,153,312,90,168
2025-12-07 20:36:39,182,153,312,90,168
2025-12-07 20:37:39,183,153,312,90,168
2025-12-07 20:38:39,184,153,312,90,168
2025-12-07 20:39:39,185,152,312,90,168
2025-12-07 20:40:40,186,153,311,90,168
2025-12-07 20:41:40,187,155,312,90,168
2025-12-07 20:42:40,188,156,312,90,168
2025-12-07 20:43:40,189,156,312,90,168
2025-12-07 20:44:41,190,157,312,90,168
2025-12-07 20:45:41,191,157,313,90,168
2025-12-07 20:46:41,192,155,312,90,168
2025-12-07 20:47:41,193,155,311,90,168
2025-12-07 20:48:41,194,156,312,90,168
2025-12-07 20:49:42,195,156,312,90,168
2025-12-07 20:50:42,196,156,312,90,169
2025-12-07 20:51:42,197,157,312,90,167
2025-12-07 20:52:42,198,157,312,91,168
2025-12-07 20:53:43,199,157,312,91,168
2025-12-07 20:54:43,200,157,312,91,168
2025-12-07 20:55:43,201,157,313,91,168
2025-12-07 20:56:43,202,156,312,91,168
2025-12-07 20:57:43,203,157,312,91,168
2025-12-07 20:58:44,204,157,312,91,168
2025-12-07 20:59:44,205,157,312,91,168
2025-12-07 21:00:44,206,157,312,91,168
2025-12-07 21:01:44,207,157,312,91,168
2025-12-07 21:02:45,208,157,312,91,168
2025-12-07 21:03:45,209,0,0,0,0
2025-12-07 21:04:57,210,157,312,91,168
2025-12-07 21:05:57,211,157,311,91,168
2025-12-07 21:06:58,212,158,312,91,168
2025-12-07 21:07:58,213,158,311,91,168
2025-12-07 21:08:58,214,158,311,91,169
2025-12-07 21:09:59,215,158,311,90,168
2025-12-07 21:10:59,216,158,311,90,168
2025-12-07 21:11:59,217,157,311,90,168
2025-12-07 21:13:00,218,157,310,90,168
2025-12-07 21:14:00,219,158,311,90,168
2025-12-07 21:15:00,220,158,311,90,168
2025-12-07 21:16:00,221,158,312,90,168
2025-12-07 21:17:01,222,158,312,90,168
2025-12-07 21:18:01,223,158,312,90,168
2025-12-07 21:19:01,224,159,312,90,168
2025-12-07 21:20:02,225,159,312,90,168
2025-12-07 21:21:02,226,159,312,90,168
2025-12-07 21:22:02,227,159,312,90,168
2025-12-07 21:23:03,228,159,312,90,168
2025-12-07 21:24:03,229,159,312,90,168
2025-12-07 21:25:03,230,159,312,90,168
2025-12-07 21:26:03,231,159,312,90,168
2025-12-07 21:27:04,232,159,312,90,168
2025-12-07 21:28:04,233,159,312,90,168
2025-12-07 21:29:04,234,159,312,90,167
2025-12-07 21:30:04,235,159,311,90,168
2025-12-07 21:31:05,236,160,312,90,169
2025-12-07 21:32:05,237,160,312,89,168
2025-12-07 21:33:05,238,160,312,89,168
2025-12-07 21:34:05,239,160,312,89,168
2025-12-07 21:35:06,240,160,311,89,168
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-08 07:04:03,1,143,311,88,168
2025-12-08 07:05:03,2,144,311,88,168
2025-12-08 07:06:03,3,144,310,88,168
2025-12-08 07:07:03,4,145,311,88,168
2025-12-08 07:08:03,5,145,311,88,168
2025-12-08 07:09:04,6,145,311,88,168
2025-12-08 07:10:04,7,144,311,88,168
2025-12-08 07:11:04,8,144,312,88,168
2025-12-08 07:12:04,9,143,310,88,168
2025-12-08 07:13:05,10,144,311,88,168
2025-12-08 07:14:05,11,144,311,88,168
2025-12-08 07:15:05,12,143,310,88,168
2025-12-08 07:16:05,13,145,311,87,168
2025-12-08 07:17:06,14,145,311,87,168
2025-12-08 07:18:06,15,145,311,87,168
2025-12-08 07:19:06,16,145,311,87,168
2025-12-08 07:20:06,17,145,312,86,168
2025-12-08 07:21:07,18,144,311,86,168
2025-12-08 07:22:07,19,144,311,85,168
2025-12-08 07:23:07,20,144,311,85,168
2025-12-08 07:24:07,21,144,311,85,168
2025-12-08 07:25:08,22,144,311,85,168
2025-12-08 07:26:08,23,144,311,85,168
2025-12-08 07:27:08,24,145,311,85,168
2025-12-08 07:28:09,25,145,311,85,168
2025-12-08 07:29:09,26,146,311,85,168
2025-12-08 07:30:09,27,146,312,85,168
2025-12-08 07:31:09,28,145,311,85,168
2025-12-08 07:32:10,29,145,311,85,168
2025-12-08 07:33:10,30,145,310,85,168
2025-12-08 07:34:11,31,146,309,85,168
2025-12-08 07:35:11,32,148,311,85,168
2025-12-08 07:36:11,33,148,311,85,168
2025-12-08 07:37:11,34,148,311,85,168
2025-12-08 07:38:11,35,148,311,85,168
2025-12-08 07:39:12,36,148,311,85,168
2025-12-08 07:40:12,37,147,311,85,168
2025-12-08 07:41:12,38,147,312,85,168
2025-12-08 07:42:13,39,146,311,85,168
2025-12-08 07:43:13,40,146,311,85,168
2025-12-08 07:44:13,41,146,311,85,168
2025-12-08 07:45:13,42,146,311,85,168
2025-12-08 07:46:14,43,146,312,85,168
2025-12-08 07:47:14,44,145,311,85,168
2025-12-08 07:48:14,45,145,311,85,168
2025-12-08 07:49:15,46,143,311,85,168
2025-12-08 07:50:15,47,142,310,85,168
2025-12-08 07:51:15,48,141,311,85,168
2025-12-08 07:52:15,49,139,310,85,168
2025-12-08 07:53:15,50,139,310,85,168
2025-12-08 07:54:16,51,140,309,85,168
2025-12-08 07:55:16,52,142,310,85,168
2025-12-08 07:56:16,53,142,311,85,168
2025-12-08 07:57:17,54,141,311,85,168
2025-12-08 07:58:17,55,141,311,85,168
2025-12-08 07:59:17,56,141,311,85,167
2025-12-08 08:00:17,57,141,310,86,168
2025-12-08 08:01:18,58,141,310,86,168
2025-12-08 08:02:18,59,141,310,86,168
2025-12-08 08:03:18,60,143,311,86,168
2025-12-08 08:04:19,61,143,311,86,168
2025-12-08 08:05:19,62,143,310,86,167
2025-12-08 08:06:19,63,143,310,87,168
2025-12-08 08:07:20,64,143,311,87,168
2025-12-08 08:08:20,65,143,311,87,168
2025-12-08 08:09:21,66,143,311,87,168
2025-12-08 08:10:21,67,141,310,87,168
2025-12-08 08:11:21,68,142,311,87,168
2025-12-08 08:12:21,69,142,310,87,168
2025-12-08 08:13:22,70,143,310,87,168
2025-12-08 08:14:22,71,144,311,87,168
2025-12-08 08:15:22,72,144,311,86,167
2025-12-08 08:16:23,73,144,310,86,167
2025-12-08 08:17:23,74,144,311,86,167
2025-12-08 08:18:23,75,143,310,87,167
2025-12-08 08:19:23,76,143,310,87,168
2025-12-08 08:20:24,77,143,310,87,169
2025-12-08 08:21:24,78,143,310,87,169
2025-12-08 08:22:24,79,143,310,87,169
2025-12-08 08:23:25,80,143,310,88,169
2025-12-08 08:24:25,81,142,310,88,169
2025-12-08 08:25:25,82,142,310,88,169
2025-12-08 08:26:25,83,141,309,88,169
2025-12-08 08:27:25,84,141,309,88,169
2025-12-08 08:28:26,85,140,309,88,169
2025-12-08 08:29:26,86,140,309,88,169
2025-12-08 08:30:26,87,140,309,88,169
2025-12-08 08:31:27,88,140,309,88,169
2025-12-08 08:32:27,89,140,309,88,169
2025-12-08 08:33:27,90,139,309,88,169
2025-12-08 08:34:27,91,139,310,88,169
2025-12-08 08:35:27,92,140,310,88,169
2025-12-08 08:36:28,93,139,310,88,169
2025-12-08 08:37:28,94,139,310,88,169
2025-12-08 08:38:28,95,138,309,88,168
2025-12-08 08:39:29,96,138,309,89,170
2025-12-08 08:40:29,97,138,308,88,169
2025-12-08 08:41:29,98,136,308,88,169
2025-12-08 08:42:30,99,136,309,88,169
2025-12-08 08:43:30,100,135,308,88,169
2025-12-08 08:44:30,101,135,310,88,169
2025-12-08 08:45:30,102,136,309,88,169
2025-12-08 08:46:31,103,138,309,88,169
2025-12-08 08:47:31,104,139,310,88,169
2025-12-08 08:48:31,105,138,310,88,169
2025-12-08 08:49:31,106,138,310,88,169
2025-12-08 08:50:32,107,138,310,88,169
2025-12-08 08:51:32,108,137,309,88,169
2025-12-08 08:52:32,109,137,309,88,169
2025-12-08 08:53:32,110,136,307,88,169
2025-12-08 08:54:33,111,137,309,88,169
2025-12-08 08:55:33,112,136,307,88,169
2025-12-08 08:56:33,113,137,309,88,169
2025-12-08 08:57:33,114,136,307,88,169
2025-12-08 08:58:34,115,137,308,88,169
2025-12-08 08:59:34,116,136,309,88,169
2025-12-08 09:00:34,117,136,309,88,169
2025-12-08 09:01:34,118,135,309,88,169
2025-12-08 09:02:35,119,135,309,88,169
2025-12-08 09:03:35,120,134,309,88,169
2025-12-08 09:04:35,121,134,309,88,169
2025-12-08 09:05:35,122,134,309,88,169
2025-12-08 09:06:36,123,134,309,88,169
2025-12-08 09:07:36,124,134,310,88,169
2025-12-08 09:08:36,125,134,310,88,169
2025-12-08 09:09:37,126,133,309,88,169
2025-12-08 09:10:37,127,132,309,88,169
2025-12-08 09:11:37,128,133,309,88,169
2025-12-08 09:12:38,129,134,308,88,169
2025-12-08 09:13:38,130,134,308,88,169
2025-12-08 09:14:38,131,134,308,88,169
2025-12-08 09:15:38,132,135,308,88,169
2025-12-08 09:16:39,133,134,308,88,169
2025-12-08 09:17:39,134,135,307,88,169
2025-12-08 09:18:39,135,138,308,88,169
2025-12-08 09:19:39,136,136,309,88,169
2025-12-08 09:20:40,137,136,307,88,169
2025-12-08 09:21:40,138,136,309,88,169
2025-12-08 09:22:40,139,136,310,88,169
2025-12-08 09:23:40,140,135,309,88,169
2025-12-08 09:24:41,141,137,309,88,169
2025-12-08 09:25:41,142,137,309,88,169
2025-12-08 09:26:42,143,137,309,88,169
2025-12-08 09:27:42,144,137,309,88,169
2025-12-08 09:28:42,145,137,309,88,169
2025-12-08 09:29:42,146,136,309,88,168
2025-12-08 09:30:43,147,136,309,89,169
2025-12-08 09:31:43,148,136,309,89,169
2025-12-08 09:32:43,149,136,309,89,169
2025-12-08 09:33:43,150,136,309,89,169
2025-12-08 09:34:44,151,135,308,89,169
2025-12-08 09:35:44,152,133,306,89,169
2025-12-08 09:36:44,153,133,306,90,169
2025-12-08 09:37:45,154,134,307,90,169
2025-12-08 09:38:45,155,135,309,90,169
2025-12-08 09:39:45,156,137,311,90,169
2025-12-08 09:40:45,157,137,310,90,169
2025-12-08 09:41:46,158,135,309,89,169
2025-12-08 09:42:46,159,135,310,89,169
2025-12-08 09:43:46,160,135,309,89,169
2025-12-08 09:44:47,161,137,310,89,169
2025-12-08 09:45:47,162,137,309,89,169
2025-12-08 09:46:47,163,137,310,89,169
2025-12-08 09:47:47,164,138,310,89,169
2025-12-08 09:48:47,165,138,310,89,169
2025-12-08 09:49:48,166,135,306,89,169
2025-12-08 09:50:48,167,139,310,89,169
2025-12-08 09:51:48,168,139,310,89,169
2025-12-08 09:52:49,169,139,310,89,169
2025-12-08 09:53:49,170,139,310,89,169
2025-12-08 09:54:49,171,139,310,89,169
2025-12-08 09:55:49,172,140,310,89,169
2025-12-08 09:56:49,173,140,310,89,169
2025-12-08 09:57:50,174,140,310,89,169
2025-12-08 09:58:50,175,140,310,89,169
2025-12-08 09:59:50,176,140,310,90,169
2025-12-08 10:00:51,177,140,310,90,169
2025-12-08 10:01:51,178,140,310,90,170
2025-12-08 10:02:51,179,141,310,89,169
2025-12-08 10:03:52,180,141,310,89,169
2025-12-08 10:04:52,181,141,310,90,169
2025-12-08 10:05:52,182,140,310,90,169
2025-12-08 10:06:52,183,140,309,90,169
2025-12-08 10:07:53,184,141,310,90,169
2025-12-08 10:08:53,185,141,310,90,169
2025-12-08 10:09:53,186,141,310,90,169
2025-12-08 10:10:53,187,141,310,90,169
2025-12-08 10:11:53,188,141,310,90,168
2025-12-08 10:12:54,189,140,309,91,169
2025-12-08 10:13:54,190,141,310,91,169
2025-12-08 10:14:54,191,141,310,91,169
2025-12-08 10:15:54,192,141,310,91,169
2025-12-08 10:16:54,193,141,310,91,169
2025-12-08 10:17:55,194,141,310,91,169
2025-12-08 10:18:55,195,141,310,91,169
2025-12-08 10:19:55,196,141,309,91,169
2025-12-08 10:20:55,197,142,310,91,169
2025-12-08 10:21:56,198,143,310,91,169
2025-12-08 10:22:56,199,143,310,91,169
2025-12-08 10:23:56,200,143,310,91,169
2025-12-08 10:24:57,201,143,310,91,169
2025-12-08 10:25:57,202,143,310,91,169
2025-12-08 10:26:57,203,142,310,91,169
2025-12-08 10:27:57,204,142,310,91,169
2025-12-08 10:28:58,205,143,309,91,169
2025-12-08 10:29:58,206,144,310,91,169
2025-12-08 10:30:58,207,144,310,91,169
2025-12-08 10:31:58,208,144,310,91,169
2025-12-08 10:32:59,209,144,309,91,169
2025-12-08 10:33:59,210,147,308,91,168
2025-12-08 10:34:59,211,148,309,92,169
2025-12-08 10:36:00,212,148,309,92,169
2025-12-08 10:37:00,213,148,309,92,169
